Index Name,Currency,TickerType,Availability,RussellTick,Bloomberg,ReutersRIC
Russell 1000,USD,Price,Real Time,RUI,RIY,.RUI
Russell 1000 - RGS Sub - Auto & Auto Parts,USD,Price,End of day,RUIAUP,,.RUIAUP
Russell 1000 - RGS Sub - Banks,USD,Price,End of day,RUIBK,,.RUIBK
Russell 1000 - RGS Sub - Building Materials & Services,USD,Price,End of day,RUIBMS,,.RUIBMS
Russell 1000 - RGS Sub - Chemicals and Synthetics,USD,Price,End of day,RUICHEM,,.RUICHEM
Russell 1000 - RGS Sub - Commercial Services,USD,Price,End of day,RUICOMMS,,.RUICOMMS
Russell 1000 - RGS Sub - Consumer Finance & Credit Services,USD,Price,End of day,RUICOMFI,,.RUICOMFI
Russell 1000 - RGS Sub - Consumer Products,USD,Price,End of day,RUICOMPR,,.RUICOMPR
Russell 1000 - RGS Sub - Consumer Services,USD,Price,End of day,RUICOMS,,.RUICOMS
Russell 1000 - RGS Sub - Electronics,USD,Price,End of day,RUIELE,,.RUIELE
Russell 1000 - RGS Sub - Energy Equipment & Services,USD,Price,End of day,RUIENEQS,,.RUIENEQS
Russell 1000 - RGS Sub - Food Beverage & Tobacco,USD,Price,End of day,RUIFBTO,,.RUIFBTO
Russell 1000 - RGS Sub - Health Care Services,USD,Price,End of day,RUIHCS,,.RUIHCS
Russell 1000 - RGS Sub - Industrial Materials & Processes,USD,Price,End of day,RUIINMP,,.RUIINMP
Russell 1000 - RGS Sub - Information Technology,USD,Price,End of day,RUIINFTEC,,.RUIINFTEC
Russell 1000 - RGS Sub - Insurance,USD,Price,End of day,RUIINS,,.RUIINS
Russell 1000 - RGS Sub - Investment Banking & Brokerage Services,USD,Price,End of day,RUIINBKBR,,.RUIINBKBR
Russell 1000 - RGS Sub - Leisure,USD,Price,End of day,RUILEIS,,.RUILEIS
Russell 1000 - RGS Sub - Machinery,USD,Price,End of day,RUIMACH,,.RUIMACH
Russell 1000 - RGS Sub - Manufacturing & Production,USD,Price,End of day,RUIMANPR,,.RUIMANPR
Russell 1000 - RGS Sub - Media,USD,Price,End of day,RUIMEDI,,.RUIMEDI
Russell 1000 - RGS Sub - Medical Equipment & Services,USD,Price,End of day,RUIMEDEQS,,.RUIMEDEQS
Russell 1000 - RGS Sub - Metals & Minerals,USD,Price,End of day,RUIMETMIN,,.RUIMETMIN
Russell 1000 - RGS Sub - Non-Renewable Energy,USD,Price,End of day,RUINONREN,,.RUINONREN
Russell 1000 - RGS Sub - Personal Care Drug & Grocery Stores,USD,Price,End of day,RUIPCDGS,,.RUIPCDGS
Russell 1000 - RGS Sub - Pharmaceuticals & Biotech,USD,Price,End of day,RUIPHABIO,,.RUIPHABIO
Russell 1000 - RGS Sub - Real Estate,USD,Price,End of day,RUIREALES,,.RUIREALES
Russell 1000 - RGS Sub - REIT ,USD,Price,End of day,RUIREITP,,.RUIREITP
Russell 1000 - RGS Sub - Scientific Instruments & Services,USD,Price,End of day,RUISCINSR,,.RUISCINSR
Russell 1000 - RGS Sub - Telecommunication,USD,Price,End of day,RUITELECM,,.RUITELECM
Russell 1000 - RGS Sub - Transportation & Freight,USD,Price,End of day,RUITRANSF,,.RUITRANSF
Russell 1000 - RGS Sub - Utilities,USD,Price,End of day,RUIUTIL,,.RUIUTIL
Russell 1000 Defensive Index,USD,Price,Real Time,RU1000DF,RU1000DF,.RU1000DF
Russell 1000 Defensive Index Total Return,USD,Total,End of day,RU1000DFTR,RU1DFTR,.RU1000DFTR
Russell 1000 Defensive Net,USD,Net,End of day,RU1DFNR,RU1DFNR,.RU1DFNR
Russell 1000 Defensive Net EUR,EUR,Net,End of day,RU1DFNRE,RU1DFNRE,.RU1DFNRE
Russell 1000 Dividend Growth Index,USD,Total,Real Time,R1DIVGRO,,.R1DIVGRO
Russell 1000 Dividend Growth Index,USD,Price,Real Time,R1DIVGRP,R1DIVGRP,.R1DIVGRP
Russell 1000 Dynamic Index,USD,Price,End of day,RU1000DY,RU100DY,.RU1000DY
Russell 1000 Dynamic Index Total Return,USD,Total,End of day,RU1000DYTR,RU1DYTR,.RU1000DYTR
Russell 1000 Dynamic Net,USD,Net,End of day,RU1DYNR,RU1DYNR,.RU1DYNR
Russell 1000 Dynamic Net EUR,EUR,Net,End of day,RU1DYNRE,RU1DYNRE,.RU1DYNRE
Russell 1000 EM GeoExposure EUR,EUR,Price,Real Time,RU1GEOEXE,,.RU1GEOEXE
Russell 1000 EM GeoExposure Index,USD,Price,End of day,RU1GEOEX,RU1GEOEX,.RU1GEOEX
Russell 1000 EM GeoExposure Index Net,USD,Net,End of day,RU1GEON,RU1GEON,.RU1GEON
Russell 1000 EM GeoExposure Index Total,USD,Total,End of day,RU1GEOT,RU1GEOT,.RU1GEOT
Russell 1000 Equal Weight Index,USD,Price,Real Time,R1ELC,RUR1ELC,.R1ELC
Russell 1000 Equal Weight Total Return,USD,Total,End of day,R1ELCTR,RU1ELCTR,.R1ELCTR
Russell 1000 ex Tobacco,USD,Price,Real Time,RUR1XTOB,,.RUR1XTOB
Russell 1000 Growth,USD,Price,Real Time,RLG,RLG,.RLG
Russell 1000 Growth 1.25x Daily Leveraged Index,USD,Total,End of day,R1GLEV125,,.R1GLEV125
Russell 1000 Growth Index EUR,EUR,Net,End of day,,RU1GN30E,
Russell 1000 Growth Net,USD,Net,Real Time,RLGNET,RU1GN30U,.RLGNET
Russell 1000 Growth Price - EOD,USD,Price,End of day,R1GPREOD,,.R1GPREOD
Russell 1000 Growth RGS Consumer Discretionary Index Price Return,USD,Price,End of day,R1GRGSCD,,.R1GRGSCD
Russell 1000 Growth RGS Consumer Discretionary Index Total Return,USD,Total,End of day,R1GRGSCDT,,.R1GRGSCDT
Russell 1000 Growth RGS Consumer Staples Index Price Return,USD,Price,End of day,R1GRGSCS,,.R1GRGSCS
Russell 1000 Growth RGS Consumer Staples Index Total Return,USD,Total,End of day,R1GRGSCST,,.R1GRGSCST
Russell 1000 Growth RGS Energy Index Price Return,USD,Price,End of day,R1GRGSENG,,.R1GRGSENG
Russell 1000 Growth RGS Energy Index Total Return,USD,Total,End of day,R1GRGSENGT,,.R1GRGSENGT
Russell 1000 Growth RGS Financial Services Index Price Return,USD,Price,End of day,R1GRGSFS,,.R1GRGSFS
Russell 1000 Growth RGS Financial Services Index Total Return,USD,Total,End of day,R1GRGSFST,,.R1GRGSFST
Russell 1000 Growth RGS Health Care Index Price Return,USD,Price,End of day,R1GRGSHC,,.R1GRGSHC
Russell 1000 Growth RGS Health Care Index Total Return,USD,Total,End of day,R1GRGSHCT,,.R1GRGSHCT
Russell 1000 Growth RGS Materials & Processing Index Price Return,USD,Price,End of day,R1GRGSMP,,.R1GRGSMP
Russell 1000 Growth RGS Materials & Processing Index Total Return,USD,Total,End of day,R1GRGSMPT,,.R1GRGSMPT
Russell 1000 Growth RGS Producer Durables Index Price Return,USD,Price,End of day,R1GRGSPD,,.R1GRGSPD
Russell 1000 Growth RGS Producer Durables Index Total Return,USD,Total,End of day,R1GRGSPDT,,.R1GRGSPDT
Russell 1000 Growth RGS Technology Index Price Return,USD,Price,End of day,R1GRGSTEC,,.R1GRGSTEC
Russell 1000 Growth RGS Technology Index Total Return,USD,Total,End of day,R1GRGSTECT,,.R1GRGSTECT
Russell 1000 Growth RGS Utilities Index Price Return,USD,Price,End of day,R1GRGSUT,,.R1GRGSUT
Russell 1000 Growth RGS Utilities Index Total Return,USD,Total,End of day,R1GRGSUTT,,.R1GRGSUTT
Russell 1000 Growth Total Return,USD,Total,Real Time,RLGTR,RU10GRTR,.RLGTRI
